N,P,K,temperature,humidity,ph,rainfall,soil_type,previous_crop,season,water_availability,irrigation,region,previous_yield,disease_level,fertilizer_usage,recommended_crop
58,71,85,24.9,65,7.5,437,Loamy,Sesame,Rabi,Medium,Rainfed,North-East India,3.0,Low,Medium,Chilli
51,44,62,22.5,55,6.8,574,Loamy,Sorghum,Rabi,Medium,Rainfed,North-East India,2.9,Low,High,Onion
53,58,60,26.1,73,7.1,890,Clay,Tomato,Rabi,Medium,Drip,West India,1.8,High,Low,Maize
22,88,33,30.8,45,6.9,536,Alluvial,Brinjal,Kharif,High,Drip,South India,2.1,High,Low,Groundnut
31,66,26,28.2,52,6.3,549,Black,Chilli,Kharif,Medium,Rainfed,North-East India,7.8,Low,High,Green Gram
51,63,42,23.9,45,7.4,404,Clay,Rice,Zaid,Medium,Rainfed,West India,3.7,Low,Low,Sunflower
36,76,55,25.5,51,6.2,698,Sandy,Chickpea,Kharif,High,Sprinkler,East India,3.9,Medium,Low,Chilli
47,50,60,23.8,75,6.8,632,Sandy,Sunflower,Zaid,High,Drip,South India,1.0,High,Low,Brinjal
34,86,21,27.5,72,5.7,663,Clay,Sorghum,Kharif,High,Canal,Central India,3.7,Medium,High,Groundnut
40,63,50,28.0,66,6.9,561,Sandy,Chickpea,Rabi,Low,Drip,Central India,4.8,Medium,Medium,Brinjal
28,38,33,28.5,54,6.6,636,Alluvial,Chilli,Kharif,Low,Rainfed,West India,2.9,High,Low,Cowpea
88,59,40,31.6,68,5.7,1439,Loamy,Tomato,Kharif,High,Rainfed,Central India,4.4,Medium,High,Rice
54,56,75,17.9,42,7.3,534,Sandy,Black Gram,Rabi,Low,Canal,West India,5.5,Medium,Low,Wheat
41,47,37,23.2,51,7.4,334,Red,Cotton,Rabi,Medium,Rainfed,Central India,3.4,Medium,Low,Chickpea
88,64,54,20.2,56,6.9,512,Loamy,Tomato,Rabi,Medium,Sprinkler,West India,1.9,Low,High,Wheat
83,60,45,31.9,88,5.6,1102,Loamy,Sugarcane,Kharif,Low,Rainfed,North India,0.9,Medium,Medium,Rice
38,45,32,28.2,60,7.2,487,Red,Sunflower,Kharif,Medium,Rainfed,West India,3.9,Medium,High,Cowpea
38,49,33,24.1,55,8.3,465,Sandy,Tomato,Rabi,High,Drip,North-East India,1.6,High,Medium,Chickpea
29,39,22,28.9,55,5.9,483,Alluvial,Wheat,Kharif,Medium,Rainfed,North India,1.6,Medium,Medium,Cowpea
47,59,55,24.1,56,6.8,488,Black,Chilli,Zaid,High,Drip,North India,2.8,High,High,Sunflower
37,56,27,31.6,52,7.2,683,Sandy,Sesame,Kharif,Low,Rainfed,Central India,2.7,Low,High,Green Gram
40,60,78,23.1,53,6.6,496,Black,Sesame,Rabi,Low,Canal,East India,5.4,High,Low,Onion
22,40,34,28.3,65,7.4,584,Clay,Onion,Kharif,High,Canal,South India,2.9,Medium,Low,Black Gram
83,64,68,32.4,63,6.3,1050,Clay,Black Gram,Rabi,High,Canal,Central India,6.2,Low,Medium,Sugarcane
41,69,85,25.4,53,6.9,670,Red,Black Gram,Kharif,High,Canal,Central India,3.2,High,Low,Chilli
64,62,62,25.8,72,6.1,752,Sandy,Green Gram,Zaid,Medium,Canal,East India,2.0,Medium,Low,Brinjal
32,39,18,31.8,65,7.4,394,Red,Sunflower,Zaid,Medium,Drip,North-East India,2.8,Medium,High,Green Gram
68,44,72,17.7,53,6.8,576,Black,Tomato,Rabi,Medium,Canal,North-East India,8.0,Low,Medium,Wheat
63,57,40,27.1,79,6.6,506,Clay,Rice,Rabi,Medium,Rainfed,North-East India,1.0,Medium,High,Brinjal
28,90,30,28.9,55,6.6,481,Black,Tomato,Zaid,Low,Drip,West India,1.1,High,Low,Groundnut
66,61,76,31.8,64,6.2,1420,Black,Chickpea,Rabi,High,Rainfed,East India,1.6,Medium,Low,Sugarcane
21,40,29,32.5,46,6.7,516,Clay,Rice,Kharif,High,Drip,East India,5.8,Medium,High,Green Gram
51,71,66,24.6,57,7.2,363,Loamy,Black Gram,Rabi,Low,Drip,West India,3.1,Medium,Low,Sunflower
59,66,60,24.3,53,5.7,526,Loamy,Wheat,Rabi,Low,Sprinkler,North-East India,3.6,Medium,High,Brinjal
26,57,39,30.8,55,6.5,427,Sandy,Rice,Zaid,Medium,Drip,East India,3.9,Low,Medium,Cowpea
26,40,41,29.7,65,6.7,645,Sandy,Groundnut,Kharif,High,Canal,Central India,1.7,Medium,High,Black Gram
63,43,43,23.9,68,6.7,539,Red,Cowpea,Zaid,Low,Rainfed,East India,3.7,Medium,Medium,Brinjal
32,42,20,28.5,62,6.4,455,Red,Groundnut,Zaid,Medium,Canal,Central India,6.6,Low,Medium,Green Gram
33,64,28,32.7,65,7.1,490,Clay,Sunflower,Zaid,Medium,Drip,North India,2.2,Medium,Medium,Black Gram
58,66,39,24.1,51,7.0,507,Loamy,Brinjal,Rabi,Medium,Drip,West India,3.4,Medium,High,Sunflower
51,51,64,28.2,69,6.9,799,Sandy,Maize,Rabi,Medium,Drip,West India,4.7,Medium,Low,Brinjal
70,43,74,29.8,74,6.2,754,Sandy,Black Gram,Rabi,Medium,Drip,North-East India,4.0,Low,Low,Maize
70,43,64,19.9,40,6.7,546,Sandy,Cowpea,Rabi,Medium,Canal,Central India,1.0,Medium,Medium,Wheat
58,50,68,29.8,88,6.8,1008,Red,Sesame,Kharif,Medium,Canal,South India,2.0,Medium,Medium,Rice
46,35,58,23.8,54,6.9,738,Sandy,Cotton,Rabi,High,Canal,North-East India,2.9,High,Medium,Brinjal
46,56,77,21.8,56,6.1,478,Alluvial,Rice,Rabi,High,Sprinkler,East India,3.8,Low,High,Onion
82,59,79,32.0,53,7.2,571,Red,Onion,Kharif,Low,Drip,North-East India,2.5,High,Low,Cotton
81,45,40,27.9,82,7.0,1469,Sandy,Chilli,Kharif,High,Canal,Central India,7.5,Low,High,Rice
43,56,52,25.7,42,6.4,475,Clay,Cowpea,Kharif,Medium,Rainfed,South India,2.2,High,High,Chilli
46,62,74,24.9,61,6.3,407,Red,Cowpea,Zaid,Low,Canal,West India,6.6,Low,Medium,Tomato
34,60,33,27.8,60,5.8,618,Alluvial,Black Gram,Kharif,High,Canal,West India,4.7,Low,Medium,Groundnut
57,46,90,30.5,76,7.4,1365,Sandy,Black Gram,Kharif,High,Canal,East India,5.1,Low,High,Sugarcane
63,36,61,26.5,54,7.4,889,Sandy,Tomato,Rabi,Medium,Sprinkler,North India,3.4,Medium,High,Maize
70,65,58,27.6,68,6.1,1243,Black,Chickpea,Rabi,High,Rainfed,North-East India,0.4,High,Low,Sugarcane
37,64,66,26.4,48,6.4,452,Sandy,Wheat,Rabi,High,Sprinkler,Central India,5.1,High,Low,Sunflower
48,59,87,22.2,51,7.3,371,Loamy,Black Gram,Rabi,Medium,Rainfed,North-East India,1.4,High,Medium,Onion
57,75,55,26.2,50,6.3,517,Loamy,Sunflower,Rabi,Medium,Sprinkler,Central India,4.9,Low,Medium,Chilli
58,50,73,31.3,63,6.8,975,Loamy,Brinjal,Rabi,Medium,Canal,South India,1.6,Low,Low,Sugarcane
34,48,37,27.1,46,7.3,669,Clay,Rice,Kharif,Low,Rainfed,South India,3.4,Low,Low,Green Gram
22,47,22,30.2,65,7.5,429,Alluvial,Sunflower,Kharif,Medium,Rainfed,Central India,3.9,High,High,Cowpea
25,35,21,32.6,66,6.9,526,Black,Wheat,Kharif,Low,Canal,South India,6.8,Low,High,Green Gram
42,87,49,28.7,51,7.3,514,Black,Tomato,Rabi,High,Rainfed,North-East India,3.6,Low,Low,Sunflower
21,74,23,30.4,62,7.1,662,Clay,Cowpea,Zaid,Medium,Rainfed,Central India,4.1,Medium,Low,Groundnut
62,87,79,25.0,47,7.2,578,Black,Black Gram,Kharif,Medium,Canal,East India,1.8,Medium,Low,Chilli
56,56,70,28.3,83,6.5,1145,Sandy,Green Gram,Rabi,High,Rainfed,North-East India,7.3,Low,High,Sugarcane
38,49,60,28.7,53,6.5,642,Black,Chickpea,Rabi,Medium,Rainfed,West India,5.4,Medium,Low,Brinjal
50,58,54,29.0,45,5.8,692,Clay,Chickpea,Rabi,Low,Rainfed,Central India,1.0,High,Low,Sorghum
86,57,82,15.7,52,6.1,695,Alluvial,Brinjal,Rabi,Medium,Sprinkler,North-East India,1.7,Low,Low,Wheat
69,58,69,30.0,60,5.9,654,Sandy,Black Gram,Kharif,High,Canal,West India,3.3,Low,Medium,Maize
37,68,59,22.6,53,6.7,456,Clay,Chickpea,Rabi,Medium,Canal,Central India,2.9,Low,High,Tomato
40,39,65,24.8,76,6.7,548,Clay,Black Gram,Zaid,Medium,Rainfed,North India,1.7,Medium,High,Brinjal
45,60,51,24.2,59,5.7,570,Black,Cotton,Rabi,Medium,Sprinkler,North India,7.5,Low,High,Brinjal
86,44,80,16.1,56,6.1,697,Alluvial,Brinjal,Rabi,Medium,Drip,Central India,1.4,High,Medium,Wheat
33,41,36,21.7,36,6.5,458,Clay,Maize,Rabi,Medium,Rainfed,Central India,6.2,Low,High,Chickpea
26,48,32,27.0,73,6.2,749,Alluvial,Sugarcane,Kharif,Medium,Canal,Central India,0.9,Medium,Medium,Black Gram
55,72,61,23.3,51,7.1,518,Sandy,Rice,Rabi,Medium,Sprinkler,West India,6.5,Low,Medium,Chilli
83,42,61,16.0,61,6.0,415,Loamy,Tomato,Rabi,Low,Drip,South India,4.3,Medium,Medium,Wheat
80,66,75,28.6,71,7.0,1375,Red,Tomato,Rabi,High,Canal,North India,1.9,Low,High,Sugarcane
37,89,38,28.0,61,6.6,454,Loamy,Cowpea,Zaid,Medium,Drip,South India,1.8,Low,Medium,Groundnut
63,56,55,27.3,81,7.3,1472,Alluvial,Chickpea,Kharif,High,Canal,Central India,2.9,Low,High,Sugarcane
44,44,36,25.1,64,6.5,599,Loamy,Black Gram,Zaid,Low,Rainfed,South India,1.5,Medium,Medium,Brinjal
63,83,77,30.3,73,6.7,587,Alluvial,Black Gram,Kharif,High,Canal,North India,7.2,Low,Low,Cotton
48,43,59,27.6,68,6.7,375,Loamy,Wheat,Kharif,Medium,Rainfed,North India,2.4,High,Medium,Sesame
66,79,67,23.2,60,6.9,700,Loamy,Sugarcane,Rabi,High,Rainfed,Central India,7.8,Low,Medium,Tomato
59,78,65,23.4,52,6.1,520,Clay,Sugarcane,Rabi,High,Sprinkler,East India,1.9,High,Medium,Sunflower
80,51,68,27.0,77,6.0,1004,Clay,Cowpea,Rabi,Low,Rainfed,East India,6.5,Low,High,Sugarcane
57,86,76,25.0,42,6.3,479,Sandy,Cowpea,Kharif,Medium,Canal,North India,5.1,Low,Medium,Chilli
26,66,20,29.8,54,7.2,575,Clay,Rice,Zaid,Medium,Rainfed,South India,1.9,High,High,Groundnut
36,63,67,26.9,52,6.7,434,Sandy,Sugarcane,Kharif,Low,Canal,Central India,1.4,Low,High,Chilli
74,59,60,28.6,66,7.3,1154,Loamy,Wheat,Kharif,Medium,Canal,North India,3.2,Medium,Low,Sugarcane
36,56,21,32.5,66,6.8,699,Red,Cowpea,Kharif,High,Rainfed,East India,3.8,Low,Low,Groundnut
41,78,83,25.7,41,7.3,533,Clay,Sugarcane,Kharif,High,Canal,Central India,1.1,High,Low,Chilli
42,64,30,32.7,51,6.6,569,Black,Brinjal,Kharif,Medium,Drip,South India,2.2,Low,Medium,Cowpea
79,58,79,26.7,61,7.2,565,Sandy,Tomato,Rabi,Low,Canal,North India,5.3,Low,Low,Maize
27,42,37,21.8,49,8.5,442,Alluvial,Wheat,Rabi,High,Drip,Central India,5.1,Medium,High,Chickpea
39,68,34,28.9,53,6.9,487,Black,Chilli,Kharif,Low,Rainfed,South India,1.2,High,Medium,Cowpea
53,87,56,25.5,62,6.4,479,Black,Sugarcane,Rabi,High,Rainfed,East India,7.0,Low,High,Sunflower
31,38,25,32.4,63,6.6,516,Clay,Tomato,Kharif,High,Drip,North India,6.5,Medium,Medium,Cowpea
67,79,41,23.6,54,7.2,565,Loamy,Black Gram,Rabi,High,Drip,East India,1.2,High,Low,Sunflower
47,45,63,32.4,47,6.3,616,Sandy,Chilli,Rabi,Low,Rainfed,North-East India,2.8,Medium,Medium,Sorghum
62,55,92,17.3,52,7.3,462,Black,Brinjal,Rabi,Low,Canal,South India,7.8,Low,Medium,Wheat
63,73,81,27.8,65,6.3,550,Sandy,Cowpea,Rabi,Medium,Canal,East India,1.8,High,Low,Chilli
53,74,72,27.3,58,6.4,412,Clay,Black Gram,Rabi,Low,Rainfed,Central India,2.4,High,Medium,Chilli
59,45,59,31.8,85,6.6,1185,Loamy,Green Gram,Kharif,Medium,Rainfed,North-East India,7.2,Low,High,Sugarcane
48,91,85,26.8,60,7.0,655,Clay,Groundnut,Rabi,High,Canal,West India,2.9,Low,High,Chilli
36,77,70,26.8,48,6.4,597,Red,Sorghum,Kharif,Medium,Canal,North India,8.0,Low,Low,Chilli
27,51,25,21.6,41,6.8,435,Clay,Brinjal,Rabi,Low,Drip,East India,2.3,Low,Medium,Chickpea
59,57,47,27.0,62,7.8,515,Clay,Chilli,Kharif,Low,Canal,West India,6.7,Medium,Medium,Sorghum
39,68,75,25.8,47,7.2,444,Clay,Chickpea,Rabi,Low,Drip,East India,4.8,Medium,Medium,Chilli
55,49,53,28.3,62,5.8,361,Red,Green Gram,Kharif,Medium,Rainfed,North-East India,5.4,Medium,Medium,Sorghum
24,68,18,32.9,70,5.5,640,Black,Chilli,Kharif,High,Rainfed,Central India,2.2,High,Medium,Groundnut
51,67,83,22.3,41,7.1,522,Red,Sugarcane,Rabi,Medium,Canal,West India,3.1,High,Medium,Onion
27,53,24,31.5,59,6.3,635,Sandy,Sorghum,Kharif,Medium,Drip,Central India,3.2,High,Medium,Cowpea
30,67,24,28.6,65,6.3,597,Clay,Cotton,Kharif,Medium,Rainfed,North-East India,6.0,Low,Medium,Black Gram
60,47,83,32.9,83,6.8,1052,Loamy,Black Gram,Kharif,High,Rainfed,North India,3.3,Low,Low,Sugarcane
73,37,39,30.5,84,5.6,1054,Black,Cowpea,Kharif,Medium,Rainfed,South India,1.0,Medium,High,Rice
31,43,18,28.7,57,5.8,512,Red,Sunflower,Zaid,Low,Rainfed,North India,6.3,Low,Low,Cowpea
62,46,59,29.4,70,7.0,525,Red,Cowpea,Zaid,High,Drip,West India,4.0,Medium,Medium,Sesame
72,39,47,29.7,76,6.3,1050,Loamy,Sunflower,Kharif,Low,Rainfed,South India,7.2,Low,Medium,Rice
72,66,63,25.4,65,6.7,595,Clay,Sesame,Kharif,Medium,Sprinkler,South India,4.3,Low,Medium,Maize
26,76,38,29.1,72,6.0,516,Alluvial,Chilli,Zaid,Medium,Drip,West India,1.4,Medium,Medium,Groundnut
56,50,53,32.2,81,7.2,908,Clay,Cowpea,Kharif,Low,Canal,South India,2.9,High,Low,Sugarcane
19,41,36,32.7,51,6.7,635,Clay,Sugarcane,Kharif,Medium,Canal,North-East India,7.9,Low,Low,Green Gram
60,60,61,27.9,47,6.7,379,Sandy,Black Gram,Kharif,Low,Drip,North India,2.5,Medium,Low,Sesame
20,52,35,27.4,74,6.4,668,Black,Cotton,Zaid,Low,Rainfed,North-East India,2.7,High,High,Green Gram
53,85,70,25.9,48,6.1,562,Clay,Sorghum,Rabi,Low,Sprinkler,West India,0.9,Medium,Low,Chilli
66,59,39,31.9,48,6.1,438,Sandy,Brinjal,Rabi,High,Canal,South India,2.5,High,Medium,Sorghum
37,66,27,30.4,66,5.8,487,Clay,Chilli,Kharif,High,Drip,North India,2.8,Low,High,Cowpea
71,55,72,30.1,75,6.5,1421,Loamy,Green Gram,Kharif,High,Canal,East India,1.9,High,Low,Sugarcane
36,49,33,28.1,61,6.2,449,Alluvial,Maize,Kharif,Medium,Rainfed,North-East India,3.3,High,Low,Cowpea
41,40,57,28.6,51,7.4,669,Red,Cowpea,Rabi,Low,Rainfed,Central India,2.0,Low,High,Sorghum
49,66,39,27.7,76,6.9,600,Sandy,Green Gram,Rabi,Low,Drip,North-East India,5.4,Medium,Medium,Brinjal
49,74,56,27.7,68,6.9,515,Red,Chilli,Rabi,High,Sprinkler,West India,4.9,Medium,Medium,Sunflower
65,63,63,30.9,68,6.2,488,Alluvial,Brinjal,Kharif,High,Rainfed,East India,7.3,Low,Low,Sesame
77,57,71,17.2,49,7.0,645,Alluvial,Sunflower,Rabi,High,Drip,West India,2.2,High,High,Wheat
65,61,61,28.6,48,6.7,448,Black,Sugarcane,Kharif,Low,Rainfed,North-East India,2.8,High,Medium,Sorghum
40,50,30,27.1,68,5.8,659,Loamy,Sunflower,Kharif,Medium,Rainfed,North India,2.4,Medium,Medium,Cowpea
44,38,56,27.9,42,6.8,503,Loamy,Green Gram,Kharif,High,Rainfed,North-East India,7.5,Low,Low,Sorghum
62,65,37,32.8,52,5.7,547,Black,Rice,Kharif,Low,Rainfed,North India,3.5,High,Low,Sesame
58,47,61,27.4,64,6.3,408,Alluvial,Rice,Kharif,Medium,Drip,West India,2.2,Medium,Low,Sesame
49,65,43,26.0,46,6.7,370,Red,Green Gram,Rabi,Low,Sprinkler,North-East India,2.2,Medium,Medium,Sunflower
64,61,42,32.4,68,6.3,405,Black,Tomato,Kharif,High,Rainfed,West India,6.2,Low,Low,Sorghum
90,57,54,28.7,65,6.3,1361,Black,Rice,Kharif,High,Canal,West India,1.9,Medium,Medium,Sugarcane
90,58,78,28.9,59,7.0,706,Alluvial,Chickpea,Rabi,High,Sprinkler,West India,1.7,Low,High,Maize
36,62,27,31.8,54,6.4,592,Alluvial,Cowpea,Zaid,Medium,Canal,Central India,3.0,High,Medium,Groundnut
21,36,19,22.3,46,7.2,510,Clay,Brinjal,Rabi,Medium,Rainfed,North India,1.3,Medium,High,Chickpea
35,82,60,28.9,50,6.2,443,Sandy,Wheat,Rabi,High,Drip,West India,3.8,High,High,Sunflower
37,60,40,31.6,67,6.1,650,Red,Sugarcane,Zaid,Low,Rainfed,North-East India,0.9,High,Low,Cowpea
68,84,62,26.6,49,6.7,434,Clay,Sorghum,Zaid,Low,Drip,North-East India,7.1,Low,Low,Chilli
74,41,72,27.6,79,6.7,980,Alluvial,Maize,Rabi,High,Rainfed,North India,1.4,High,Medium,Sugarcane
77,41,89,15.8,53,7.0,523,Loamy,Sunflower,Rabi,Medium,Sprinkler,North India,1.3,Low,Medium,Wheat
33,46,22,32.3,48,7.3,426,Black,Sesame,Zaid,Medium,Drip,North-East India,4.0,Medium,Low,Green Gram
18,57,35,31.5,67,7.4,491,Alluvial,Wheat,Kharif,Low,Drip,South India,4.5,Medium,High,Cowpea
40,57,21,28.7,73,7.4,746,Red,Sugarcane,Kharif,High,Rainfed,East India,4.9,Low,Low,Black Gram
41,58,40,31.8,55,7.4,627,Clay,Tomato,Zaid,Medium,Drip,North-East India,2.6,Low,Medium,Black Gram
54,49,85,19.4,46,6.6,422,Loamy,Chickpea,Rabi,Medium,Sprinkler,North India,7.2,Low,Medium,Onion
27,47,21,31.5,59,7.4,575,Red,Wheat,Zaid,High,Drip,North India,1.7,Low,Medium,Black Gram
29,39,34,30.4,63,6.6,459,Sandy,Sunflower,Zaid,High,Rainfed,South India,3.1,High,Medium,Green Gram
19,40,35,29.0,71,6.3,631,Black,Maize,Kharif,Low,Rainfed,Central India,5.6,Medium,Low,Green Gram
55,47,67,26.0,79,6.1,648,Loamy,Sesame,Rabi,Medium,Sprinkler,North India,1.1,Medium,Medium,Brinjal
40,41,39,32.9,52,7.2,606,Alluvial,Brinjal,Kharif,Medium,Rainfed,North-East India,7.5,Low,Low,Green Gram
65,50,40,32.5,57,7.2,642,Sandy,Cotton,Kharif,Medium,Drip,South India,3.9,Low,Medium,Sesame
44,62,39,25.6,63,7.1,433,Alluvial,Cotton,Rabi,Low,Sprinkler,North India,3.2,Low,Medium,Sunflower
53,89,57,27.2,44,6.7,410,Loamy,Cotton,Rabi,Medium,Drip,South India,1.4,Medium,Low,Chilli
72,38,66,28.4,55,7.0,812,Alluvial,Cowpea,Kharif,Medium,Canal,East India,4.0,High,Low,Maize
60,58,62,26.4,51,5.9,733,Loamy,Cotton,Zaid,High,Sprinkler,Central India,5.0,High,Medium,Brinjal
24,44,32,31.9,63,7.1,556,Clay,Groundnut,Zaid,Low,Canal,East India,7.2,Low,Medium,Green Gram
25,67,19,31.7,74,6.3,446,Red,Groundnut,Zaid,High,Canal,East India,2.0,Medium,High,Green Gram
66,56,63,20.9,58,6.1,512,Alluvial,Sorghum,Rabi,Medium,Drip,West India,3.7,Low,Medium,Onion
40,36,38,29.8,68,6.8,397,Alluvial,Tomato,Rabi,Low,Canal,West India,4.5,Medium,Medium,Sorghum
46,52,39,32.5,60,7.8,334,Loamy,Tomato,Rabi,Low,Rainfed,West India,6.6,Low,Low,Sorghum
32,61,41,31.2,61,7.0,614,Alluvial,Sunflower,Zaid,Medium,Canal,North India,2.8,High,High,Green Gram
30,65,42,27.5,48,6.4,622,Alluvial,Cotton,Zaid,High,Rainfed,West India,5.6,Low,Medium,Groundnut
20,47,36,20.0,43,8.0,402,Alluvial,Cotton,Rabi,Medium,Rainfed,South India,5.4,Low,High,Chickpea
64,63,81,28.0,56,7.4,527,Black,Cotton,Rabi,Medium,Canal,Central India,6.0,Medium,Medium,Chilli
30,62,39,32.6,67,6.7,549,Loamy,Sugarcane,Zaid,Low,Drip,North-East India,4.2,High,Low,Cowpea
47,63,56,31.7,52,5.6,382,Loamy,Chilli,Rabi,Low,Rainfed,South India,6.5,Low,High,Sorghum
67,62,56,28.1,50,6.6,673,Sandy,Maize,Rabi,High,Sprinkler,South India,2.7,Medium,Medium,Chilli
60,87,62,24.1,64,6.3,556,Black,Sorghum,Zaid,Medium,Rainfed,South India,2.7,High,Medium,Sunflower
57,58,45,28.0,65,6.1,562,Red,Chickpea,Rabi,High,Sprinkler,South India,3.4,High,Medium,Sunflower
45,87,57,23.4,43,6.6,619,Red,Black Gram,Rabi,High,Canal,North-East India,5.5,Low,Low,Chilli
19,52,25,29.4,71,6.4,426,Alluvial,Rice,Kharif,High,Rainfed,North India,4.1,Medium,Medium,Green Gram
19,83,23,31.7,73,7.3,518,Loamy,Wheat,Zaid,High,Drip,South India,7.0,Low,Medium,Groundnut
60,43,59,32.5,61,7.4,586,Sandy,Chilli,Rabi,High,Rainfed,South India,2.4,High,High,Sorghum
63,59,82,31.7,58,6.8,875,Black,Sesame,Kharif,High,Drip,North India,1.0,High,Medium,Cotton
63,37,63,31.1,45,7.1,376,Clay,Chickpea,Kharif,Medium,Rainfed,West India,5.8,Medium,High,Sesame
35,56,32,28.3,59,6.7,746,Sandy,Brinjal,Kharif,High,Canal,West India,4.4,Low,Low,Groundnut
22,61,37,29.7,62,5.9,632,Sandy,Onion,Kharif,Low,Rainfed,South India,4.4,Medium,Medium,Cowpea
80,38,59,27.9,81,6.8,1484,Sandy,Green Gram,Rabi,High,Rainfed,North-East India,4.7,Medium,Medium,Sugarcane
41,77,25,32.3,48,5.6,645,Clay,Cowpea,Kharif,Medium,Drip,South India,2.8,Low,High,Groundnut
40,57,81,26.7,62,6.7,465,Red,Black Gram,Kharif,Medium,Canal,North India,7.7,Low,Medium,Chilli
